payment_id,student_id,semester,payment_date,amount_paid,payment_status
PMT5046,SV3070,2024-1,2024-04-12,0.0,Chưa thanh toán
PMT5047, SV3004,2024-2,2024-11-21,9000000.0,Thanh toán trễ
PMT5048,sv3018,2024-1,2024-05-18,0.0,Chưa thanh toán
PMT5049, SV3011,1202-1,,0.0,Thanh toan mot phan
PMT5050,sv3068,2202-2,2024-06-17,0.0,Chua thanh toan
PMT5051,sv3067,2024-2,2024-09-18,0.0,Da thanh toan
PMT5052, SV3028,2024-1,,8000000.0,Chưa thanh toán
PMT5053,sv3007,1202-1,,0.0,Thanh toan mot phan
PMT5054,sv3063,2202-2,,4000000.0,Thanh toán một phần
PMT5055,SV3005 ,2202-2,2024-06-11,10000000.0,Thanh toán một phần
PMT5056, SV3032,2024-2,2024-02-01,10000000.0,Thanh toan mot phan
PMT5057,sv3003,2024-2,2024-05-20,4000000.0,
PMT5058, SV3053,2025-1,,8000000.0,
PMT5059,SV3042 ,2024-2,,8000000.0,Đã thanh toán
PMT5060,sv3067,1202-1,,0.0,Thanh toán một phần
PMT5061,SV3044 ,2024-1,2024-12-22,0.0,Da thanh toan
PMT5062,sv3037,1202-1,2025-01-07,9000000.0,Thanh toán một phần
PMT5063,SV3044 ,2025-1,2024-01-01,8000000.0,
PMT5064,sv3012,2025-1,2024-09-15,10000000.0,
PMT5065,sv3078,1202-1,2024-02-12,10000000.0,Thanh toan tre
PMT5066,SV3070,2025-1,,0.0,Thanh toán trễ
PMT5067,sv3078,2024-1,,4000000.0,Thanh toan mot phan
PMT5068,SV3062 ,2024-1,2024-06-20,0.0,Thanh toán một phần
PMT5069,sv3065,2025-1,,9000000.0,Thanh toan mot phan
PMT5070,SV3058 ,2202-2,,0.0,
PMT5071, SV3076,1202-1,2024-12-08,0.0,
PMT5072, SV3054,1202-1,2024-07-25,0.0,Thanh toan mot phan
PMT5073, SV3010,1202-1,2024-08-05,9000000.0,Da thanh toan
PMT5074,sv3064,2024-2,,4000000.0,Đã thanh toán
PMT5075,SV3033 ,2024-2,2025-01-07,0.0,Da thanh toan
PMT5076,SV3009,1202-1,2024-05-07,4000000.0,Đã thanh toán
PMT5077,sv3030,1202-1,,9000000.0,Chua thanh toan
PMT5078,SV3017,1202-1,2024-03-14,8000000.0,
PMT5079,SV3042 ,2024-2,2024-03-03,9000000.0,Thanh toán trễ
PMT5080,sv3078,2025-1,2024-08-19,4000000.0,Da thanh toan
PMT5081,sv3067,1202-1,,0.0,Thanh toán trễ
PMT5082,sv3019,2024-1,2024-02-14,0.0,Thanh toan mot phan
PMT5083,sv3003,1202-1,2024-03-01,9000000.0,Thanh toan mot phan
PMT5084,sv3043,1202-1,,8000000.0,Đã thanh toán
PMT5085, SV3010,1202-1,,8000000.0,Thanh toán một phần
PMT5086,SV3025,2024-1,,0.0,
PMT5087,SV3015,2024-1,,9000000.0,Thanh toan mot phan
PMT5088,SV3020,2025-1,2024-11-15,4000000.0,
PMT5089,SV3040 ,2025-1,,0.0,Thanh toan tre
PMT5090,SV3040 ,1202-1,2024-06-27,0.0,Thanh toán trễ
PMT5091,SV3061 ,2024-1,,0.0,Đã thanh toán
PMT5092,sv3019,2025-1,2024-02-01,8000000.0,Chưa thanh toán
PMT5093,SV3024,2024-1,2024-12-04,9000000.0,Đã thanh toán
PMT5094,SV3020,1202-1,,4000000.0,Da thanh toan
PMT5095,sv3003,1202-1,,8000000.0,Thanh toan mot phan
PMT5096,sv3007,2025-1,2024-12-11,0.0,Đã thanh toán
PMT5097,sv3077,2024-1,,8000000.0,Chưa thanh toán
PMT5098,sv3065,2024-2,2024-08-12,8000000.0,Chưa thanh toán
PMT5099, SV3004,2202-2,2024-01-30,0.0,Chưa thanh toán
